Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED green 1206","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",126.122500,-53.500000,0.000000,top
"D2","LED green 1206","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",141.622500,-53.500000,0.000000,top
"D3","LED green 1206","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",157.122500,-53.500000,0.000000,top
"D4","LED green 1206","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",126.177500,-93.800000,180.000000,top
"D5","LED green 1206","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",141.677500,-93.800000,180.000000,top
"D6","LED green 1206","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",157.177500,-93.800000,180.000000,top
"R13","680 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",126.100000,-50.500000,180.000000,top
"R14","680 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",141.600000,-50.500000,180.000000,top
"R15","680 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",157.100000,-50.500000,180.000000,top
"R16","680 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",126.200000,-96.500000,0.000000,top
"R17","680 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",141.700000,-96.500000,0.000000,top
"R18","680 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",157.200000,-96.500000,0.000000,top
