Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF 0603,C_0603_1608Metric,105.575,-108.6,180.0,bottom
C2,100nF 0603,C_0603_1608Metric,118.475,-108.4,180.0,bottom
C3,100nF 0603,C_0603_1608Metric,130.375,-108.4,180.0,bottom
C4,100nF 0603,C_0603_1608Metric,143.675,-108.4,180.0,bottom
C5,100nF 0603,C_0603_1608Metric,156.975,-108.4,180.0,bottom
C6,100nF 0603,C_0603_1608Metric,168.6,-108.4,180.0,bottom
C7,100nF 0603,C_0603_1608Metric,139.4,-118.0,180.0,bottom
R1,10k 0603,R_0603_1608Metric,98.875,-108.6,180.0,bottom
R2,1k 0603,R_0603_1608Metric,102.275,-108.6,0.0,bottom
R3,10k 0603,R_0603_1608Metric,111.875,-108.4,180.0,bottom
R4,1k 0603,R_0603_1608Metric,115.175,-108.4,0.0,bottom
R5,10k 0603,R_0603_1608Metric,123.875,-108.4,180.0,bottom
R6,1k 0603,R_0603_1608Metric,127.075,-108.4,0.0,bottom
R7,10k 0603,R_0603_1608Metric,137.275,-108.4,180.0,bottom
R8,1k 0603,R_0603_1608Metric,140.475,-108.4,0.0,bottom
R9,10k 0603,R_0603_1608Metric,150.475,-108.4,180.0,bottom
R10,1k 0603,R_0603_1608Metric,153.675,-108.4,0.0,bottom
R11,10k 0603,R_0603_1608Metric,162.075,-108.4,180.0,bottom
R12,1k 0603,R_0603_1608Metric,165.275,-108.4,0.0,bottom
R13,680 0603,R_0603_1608Metric,102.7,-94.9,0.0,bottom
R14,680 0603,R_0603_1608Metric,115.5,-94.9,0.0,bottom
R15,680 0603,R_0603_1608Metric,128.0775,-94.9,0.0,bottom
R16,680 0603,R_0603_1608Metric,140.5,-94.9,0.0,bottom
R17,680 0603,R_0603_1608Metric,153.4,-94.9,0.0,bottom
R18,680 0603,R_0603_1608Metric,166.1,-94.9,0.0,bottom
U1,74HC14D,SOIC-14_3.9x8.7mm_P1.27mm,133.9,-114.2,90.0,bottom
